NAME                     INSTALLED                         FIXED-IN                                    TYPE    VULNERABILITY        SEVERITY   
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-25236       High        
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-25235       High        
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-42013       High        
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2023-52426       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2023-52425       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2023-45802       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2023-27522       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2023-25690       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-43680       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-40674       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-37436       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-36760       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-25315       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-25314       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-25313       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-23990       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-23943       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-23852       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-22827       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-22826       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-22825       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-22824       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-22823       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-22822       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-22720       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-22719       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-46143       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-40438       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-39275       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-36160       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-34798       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-33193       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-31618       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-30641       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-26691       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-26690       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2020-9490        Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2020-13938       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2020-11993       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2020-11984       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2019-9517        Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2019-17567       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2019-10097       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2019-10081       Medium      
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.22                           deb     CVE-2019-0217        Medium      
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.18                           deb     CVE-2017-9798        Medium      
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.17                           deb     CVE-2017-9788        Medium      
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.16                           deb     CVE-2017-7668        Medium      
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.16                           deb     CVE-2017-3169        Medium      
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.16                           deb     CVE-2017-3167        Medium      
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.15                           deb     CVE-2016-8743        Medium      
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.13                           deb     CVE-2016-5387        Medium      
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.15                           deb     CVE-2016-0736        Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2006-20001       Medium      
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2023-43622       Low         
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2023-31122       Low         
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-22721       Low         
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-45960       Low         
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2020-35452       Low         
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2020-1934        Low         
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2020-1927        Low         
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2020-13950       Low         
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2020-11985       Low         
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2019-10098       Low         
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2019-10092       Low         
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2019-10082       Low         
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.22                           deb     CVE-2019-0220        Low         
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2018-20843       Low         
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.22                           deb     CVE-2018-17199       Low         
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.20                           deb     CVE-2018-1312        Low         
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.20                           deb     CVE-2018-1303        Low         
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.20                           deb     CVE-2018-1301        Low         
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.20                           deb     CVE-2018-1283        Low         
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.16                           deb     CVE-2017-7679        Low         
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.20                           deb     CVE-2017-15715       Low         
