testsuite,classname,name,priority,cve_number,failure_message
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2016-0736,MEDIUM,2016-0736,httpd: Padding Oracle in Apache mod_session_crypto
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2016-5387,MEDIUM,2016-5387,Apache HTTPD: sets environmental variable based on user supplied Proxy request header
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2016-8743,MEDIUM,2016-8743,httpd: Apache HTTP Request Parsing Whitespace Defects
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2017-3167,MEDIUM,2017-3167,httpd: ap_get_basic_auth_pw() authentication bypass
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2017-3169,MEDIUM,2017-3169,httpd: mod_ssl NULL pointer dereference
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2017-7668,MEDIUM,2017-7668,httpd: ap_find_token() buffer overread
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2017-9788,MEDIUM,2017-9788,httpd: Uninitialized memory reflection in mod_auth_digest
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2017-9798,MEDIUM,2017-9798,httpd: Use-after-free by limiting unregistered HTTP method (Optionsbleed)
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2019-0217,MEDIUM,2019-0217,httpd: mod_auth_digest: access control bypass due to race condition
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[LOW] CVE-2016-2161,LOW,2016-2161,httpd: DoS vulnerability in mod_auth_digest
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[LOW] CVE-2016-4975,LOW,2016-4975,httpd: CRLF injection allowing HTTP response splitting attacks for sites which use mod_userdir
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[LOW] CVE-2017-15710,LOW,2017-15710,httpd: Out of bounds write in mod_authnz_ldap when using too small Accept-Language values
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[LOW] CVE-2017-15715,LOW,2017-15715,httpd: <FilesMatch> bypass with a trailing newline in the file name
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[LOW] CVE-2017-7679,LOW,2017-7679,httpd: mod_mime buffer overread
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[LOW] CVE-2018-1283,LOW,2018-1283,httpd: Improper handling of headers in mod_session can allow a remote user to modify session data for CGI applications
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[LOW] CVE-2018-1301,LOW,2018-1301,httpd: Out of bounds access after failure in reading the HTTP request
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[LOW] CVE-2018-1303,LOW,2018-1303,httpd: Out of bounds read in mod_cache_socache can allow a remote attacker to cause DoS
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[LOW] CVE-2018-1312,LOW,2018-1312,httpd: Weak Digest auth nonce generation in mod_auth_digest
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[LOW] CVE-2018-17199,LOW,2018-17199,httpd: mod_session_cookie does not respect expiry time
hackersploit/bwapp-docker (ubuntu 14.04),apache2-2.4.7-1ubuntu4.9,[LOW] CVE-2019-0220,LOW,2019-0220,httpd: URL normalization inconsistency
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2016-0736,MEDIUM,2016-0736,httpd: Padding Oracle in Apache mod_session_crypto
hackersploit/bwapp-docker (ubuntu 14.04),apache2-bin-2.4.7-1ubuntu4.9,[MEDIUM] CVE-2016-5387,MEDIUM,2016-5387,Apache HTTPD: sets environmental variable based on user supplied Proxy request header
